epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.711,1.58773,1.66025,1.7129,0.55069,0.3729,0.39652,0.11866,2.38871,2.04235,2.15599,0.000553993,0.000553993,0.000553993
2,1081.68,1.51234,1.39233,1.64146,0.44235,0.38368,0.39032,0.11955,2.34778,2.48617,2.07906,0.00109593,0.00109593,0.00109593
3,1692.75,1.49718,1.36617,1.63,0.58055,0.51577,0.47684,0.17306,2.18277,1.50746,1.95856,0.00162411,0.00162411,0.00162411
4,2328.57,1.43054,1.2948,1.59107,0.72443,0.54289,0.61189,0.24066,1.99535,1.61618,1.72229,0.00160511,0.00160511,0.00160511
5,2909.95,1.39047,1.22126,1.53712,0.73295,0.55032,0.60947,0.2225,2.14481,1.46895,1.83295,0.00158448,0.00158448,0.00158448
6,3458.81,1.34668,1.14813,1.51677,0.56549,0.64987,0.53226,0.21402,2.0576,1.3195,1.92292,0.00156385,0.00156385,0.00156385
7,4014.46,1.32084,1.12964,1.49493,0.72564,0.5278,0.6159,0.25729,1.90467,1.2277,1.75161,0.00154323,0.00154323,0.00154323
8,4568.81,1.27759,1.06563,1.45852,0.73829,0.59918,0.59873,0.2603,1.89725,1.16645,1.63468,0.0015226,0.0015226,0.0015226
9,5136.63,1.26077,1.04774,1.44816,0.8578,0.63825,0.73521,0.33149,1.76587,0.96526,1.5306,0.00150197,0.00150197,0.00150197
10,5693.81,1.22837,1.01379,1.43183,0.69333,0.63388,0.64995,0.26568,1.93911,1.1311,1.71095,0.00148134,0.00148134,0.00148134
11,6250.16,1.22506,0.99715,1.42828,0.75998,0.63153,0.66156,0.33027,1.63799,0.93467,1.49423,0.00146071,0.00146071,0.00146071
12,6805.22,1.20676,0.98698,1.41093,0.741,0.68235,0.72652,0.3184,1.79228,0.86359,1.53604,0.00144008,0.00144008,0.00144008
13,7360.3,1.18945,0.97062,1.40653,0.81025,0.7139,0.78257,0.38024,1.64433,0.88404,1.43861,0.00141945,0.00141945,0.00141945
14,7916.59,1.18168,0.9607,1.3944,0.77952,0.6892,0.752,0.37875,1.53797,0.89097,1.41543,0.00139882,0.00139882,0.00139882
